69,OSheas Celtic,Hawks,2018-02-11,9,K1
70,Berman and Berman,TNM United,2018-02-11,9,K2
71,OSheas Stumblers,Boynton Beach Tropics,2018-02-11,9,G1
72,FC United Nations,The Red Diablos,2018-02-11,9,G2
73,Victorious Secret,Tarmac United,2018-02-11,10,K1
74,Outkasts,Lions FC,2018-02-11,10,K2
75,La Fed,Ztnuc FC,2018-02-11,10,G1
76,Boca City FC,Real Boca,2018-02-11,10,G2
77,Power Soccer FC,L Equipe De Reve,2018-02-11,11,K1
78,The Lads,Zimbabwean Trillionaires,2018-02-11,11,K2
79,Authentic Soccer FC,Atletic Club,2018-02-11,11,G1
80,Palm Beach Chiros,Palm Beach United,2018-02-11,11,G2
81,Selecao,Euro FC,2018-02-11,12,K1
82,Atletico San Pancho,Orange FC,2018-02-11,12,K2
83,OSheas Celtic,Selecao,2018-02-18,9,G1
84,Lions FC,L Equipe De Reve,2018-02-18,9,G2
85,OSheas Stumblers,The Red Diablos,2018-02-18,9,G1
86,Palm Beach Chiros,Atletic Club,2018-02-18,9,G2
87,Outkasts,Hawks,2018-02-18,10,K1
88,Real Boca,TNM United,2018-02-18,10,K2
89,Atletico San Pancho,La Fed,2018-02-18,10,G1
90,Ztnuc FC,	 Zimbabwean Trillionaires,2018-02-18,10,G2
91,Orange FC,The Lads,2018-02-18,11,K1
92,Boca City FC,Berman and Berman,2018-02-18,11,K2
93,FC United Nations,Boynton Beach Tropics,2018-02-18,11,G1
94,Authentic Soccer FC,Palm Beach United,2018-02-18,11,G2
95,Tarmac United,Power Soccer FC,2018-02-18,12,K1
96,Euro FC,Victorious Secret,2018-02-18,12,K2
97,Lions FC,Tarmac United,2018-02-25,9,K1
98,Ztnuc FC,Atletico San Pancho,2018-02-25,9,K2
99,FC United Nations,OSheas Stumblers,2018-02-25,9,G1
100,Palm Beach Chiros,Authentic Soccer FC,2018-02-25,9,G2
101,The Lads,Boca City FC,2018-02-25,10,K1
102,Berman and Berman,Orange FC,2018-02-25,10,K2
103,Zimbabwean Trillionaires,TNM United FC,2018-02-25,10,G1
